Open,High,Low,Volume
35.900001525878906,35.970001220703125,35.724998474121094,75733600
35.73500061035156,35.837501525878906,35.01499938964844,121517600
35.400001525878906,35.537498474121094,35.252498626708984,81400000
35.477500915527344,35.595001220703125,35.26250076293945,71291600
35.369998931884766,35.470001220703125,35.217498779296875,66328400
35.352500915527344,35.5099983215332,35.27750015258789,58790000
35.470001220703125,35.5,35.11249923706055,69313600
35.30500030517578,35.72999954223633,35.290000915527344,93278400
35.61000061035156,35.66999816894531,35.462501525878906,69283600
35.875,35.98749923706055,35.79499816894531,68537200
35.977500915527344,36.224998474121094,35.967498779296875,75486000
36.11750030517578,36.150001525878906,35.845001220703125,80164800
35.97999954223633,36.040000915527344,35.82749938964844,56985200
36.022499084472656,36.07500076293945,35.817501068115234,83441600
36.275001525878906,36.79999923706055,36.2400016784668,134411600
36.8849983215332,37.022499084472656,36.709999084472656,181408800
36.397499084472656,36.872501373291016,36.067501068115234,182788000
36.630001068115234,36.78499984741211,36.45249938964844,93487600
36.689998626708984,37.244998931884766,36.689998626708984,109310800
37.25749969482422,38.42499923706055,37.25749969482422,195009600
38.467498779296875,38.720001220703125,38.36249923706055,156521600
38.407501220703125,38.48500061035156,38.02750015258789,103222800
38.11249923706055,38.51750183105469,38.07749938964844,109020400
38.67499923706055,39.10499954223633,38.66749954223633,130108000
39.002498626708984,39.162498474121094,38.76250076293945,104038800
38.98500061035156,39.01499938964844,38.68000030517578,80194000
38.400001525878906,38.64250183105469,37.4275016784668,203070800
37.817501068115234,38.334999084472656,37.782501220703125,134272800
38.345001220703125,38.494998931884766,38.157501220703125,107843200
38.5,38.64500045776367,38.227500915527344,91865600
38.724998474121094,38.724998474121094,38.32749938964844,79675600
38.459999084472656,38.54249954223633,38.16749954223633,76712000
38.432498931884766,38.587501525878906,38.25749969482422,76942400
38.5,38.560001373291016,38.32749938964844,87710400
38.35499954223633,38.60749816894531,38.33250045776367,80507600
38.49250030517578,38.54249954223633,38.095001220703125,97804800
38.29249954223633,38.33250045776367,38.05500030517578,65616400
38.39500045776367,38.86249923706055,38.22249984741211,111082800
38.584999084472656,38.61249923706055,38.3650016784668,101326800
38.474998474121094,38.95249938964844,38.44499969482422,106499600
38.755001068115234,38.994998931884766,38.619998931884766,84278400
38.8125,38.8849983215332,38.599998474121094,85003200
38.79750061035156,38.79750061035156,36.505001068115234,259530800
36.435001373291016,36.522499084472656,35.627498626708984,289229200
36.790000915527344,36.86249923706055,36.287498474121094,136661600
36.875,36.875,35.959999084472656,126124800
35.83000183105469,36.119998931884766,35.5525016784668,128661600
35.94499969482422,36.125,35.54999923706055,201444400
35.915000915527344,36.685001373291016,35.915000915527344,130165600
36.717498779296875,36.717498779296875,36.23500061035156,99600400
36.380001068115234,36.51750183105469,36.15250015258789,85063200
36.442501068115234,36.67499923706055,36.279998779296875,76425200
36.282501220703125,36.790000915527344,36.27750015258789,141757600
36.79249954223633,37.06999969482422,36.345001220703125,102769600
36.252498626708984,36.540000915527344,35.904998779296875,99047600
36.122501373291016,36.52750015258789,35.790000915527344,88329600
36.1775016784668,36.282501220703125,35.56999969482422,125997600
36.11249923706055,36.2400016784668,35.94499969482422,92096400
36.220001220703125,36.32500076293945,35.775001525878906,57111200
35.92250061035156,36.1974983215332,35.68000030517578,86278400
35.755001068115234,35.875,35.602500915527344,96515200
35.724998474121094,36.1875,35.724998474121094,76806800
36.02750015258789,36.48749923706055,35.842498779296875,84362400
36.182498931884766,36.462501525878906,36.095001220703125,79127200
36.467498779296875,36.54499816894531,36.20500183105469,99538000
36.375,37.122501373291016,36.36000061035156,100797600
36.99250030517578,37.33250045776367,36.83250045776367,80528400
37.20500183105469,37.724998474121094,37.14250183105469,95174000
37.29999923706055,37.532501220703125,37.16749954223633,71475200
37.619998931884766,37.85499954223633,37.48749923706055,83692000
37.875,37.935001373291016,37.54750061035156,68974800
37.497501373291016,37.61000061035156,37.220001220703125,105010400
37.64500045776367,38.11000061035156,37.474998474121094,85972800
37.95000076293945,38.459999084472656,37.95000076293945,75415600
38.337501525878906,38.48249816894531,38.26499938964844,63124000
38.4375,38.497501373291016,36.82500076293945,129905200
37.47249984741211,37.557498931884766,37.29750061035156,68854800
37.474998474121094,37.58250045776367,37.032501220703125,79383600
37.275001525878906,37.55500030517578,37.102500915527344,141474400
39.81999969482422,39.9375,39.040000915527344,279747200
39.26250076293945,39.3025016784668,38.755001068115234,108389200
39.01750183105469,39.349998474121094,38.92250061035156,82239600
39.26499938964844,39.72999954223633,39.16749954223633,87481200
39.650001525878906,40.45750045776367,39.567501068115234,144823600
39.814998626708984,40.317501068115234,39.77750015258789,104526000
39.974998474121094,40.0,38.657501220703125,163217200
39.150001525878906,39.64250183105469,39.01750183105469,105028400
39.83000183105469,40.0525016784668,39.6875,88490800
40.165000915527344,40.54999923706055,40.03499984741211,117862000
40.48500061035156,40.627498626708984,40.037498474121094,110686400
40.130001068115234,40.1775016784668,39.459999084472656,111762400
39.46500015258789,39.875,39.18000030517578,109712400
39.375,39.47249984741211,38.77750015258789,105474000
39.557498931884766,40.0,39.505001068115234,86418400
39.76750183105469,40.11750030517578,39.720001220703125,77596400
40.10749816894531,40.185001373291016,39.63750076293945,79275600
39.912498474121094,40.13999938964844,39.817501068115234,101920400
40.03499984741211,40.5,39.98249816894531,103864000
40.025001525878906,40.779998779296875,40.0,118067600
40.95000076293945,40.97249984741211,40.65250015258789,109078400
40.90999984741211,41.130001068115234,40.869998931884766,107140400
41.20000076293945,41.23500061035156,40.907501220703125,66364400
